 "s" , "o" ,
 "https://en-word.net/lemma/activeness#activeness-ewn-04642461-n" , "https://en-word.net/lemma/inactiveness#inactiveness-ewn-04642988-n" ,
 "https://en-word.net/lemma/intense#intense-ewn-01513206-a" , "https://en-word.net/lemma/mild#mild-ewn-01512398-a" ,
 "https://en-word.net/lemma/inactive#inactive-ewn-00035187-a" , "https://en-word.net/lemma/active#active-ewn-00034823-a" ,
 "https://en-word.net/lemma/inactiveness#inactiveness-ewn-14033619-n" , "https://en-word.net/lemma/activeness#activeness-ewn-14030430-n" ,
 "https://en-word.net/lemma/inactivity#inactivity-ewn-14033619-n" , "https://en-word.net/lemma/activity#activity-ewn-14030430-n" ,
 "https://en-word.net/lemma/active#active-ewn-00034823-a" , "https://en-word.net/lemma/inactive#inactive-ewn-00035187-a" ,
 "https://en-word.net/lemma/distant#distant-ewn-00447582-a" , "https://en-word.net/lemma/close#close-ewn-00448955-a" ,
 "https://en-word.net/lemma/spiritless#spiritless-ewn-02289059-a" , "https://en-word.net/lemma/spirited#spirited-ewn-02286688-a" ,
 "https://en-word.net/lemma/activity#activity-ewn-00408356-n" , "https://en-word.net/lemma/inactivity#inactivity-ewn-01064507-n" ,
 "https://en-word.net/lemma/infrequently#infrequently-ewn-00376350-r" , "https://en-word.net/lemma/frequently#frequently-ewn-00035445-r" ,
 "https://en-word.net/lemma/rarely#rarely-ewn-00035772-r" , "https://en-word.net/lemma/often#often-ewn-00035445-r" ,
 "https://en-word.net/lemma/frequently#frequently-ewn-00035445-r" , "https://en-word.net/lemma/infrequently#infrequently-ewn-00376350-r" ,
 "https://en-word.net/lemma/infrequent#infrequent-ewn-01070882-a" , "https://en-word.net/lemma/frequent#frequent-ewn-01070231-a" ,
 "https://en-word.net/lemma/often#often-ewn-00035445-r" , "https://en-word.net/lemma/rarely#rarely-ewn-00035772-r" ,
 "https://en-word.net/lemma/inactive#inactive-ewn-00036594-a" , "https://en-word.net/lemma/active#active-ewn-00035578-a" ,
 "https://en-word.net/lemma/active#active-ewn-00035578-a" , "https://en-word.net/lemma/inactive#inactive-ewn-00036594-a" ,
 "https://en-word.net/lemma/explicable#explicable-ewn-00942070-a" , "https://en-word.net/lemma/inexplicable#inexplicable-ewn-00942374-a" ,
 "https://en-word.net/lemma/immoderately#immoderately-ewn-00036472-r" , "https://en-word.net/lemma/moderately#moderately-ewn-00036138-r" ,
 "https://en-word.net/lemma/unreasonably#unreasonably-ewn-00036472-r" , "https://en-word.net/lemma/reasonably#reasonably-ewn-00036138-r" ,
 "https://en-word.net/lemma/immoderate#immoderate-ewn-01537239-a" , "https://en-word.net/lemma/moderate#moderate-ewn-01535494-a" ,
